Jumlah UMKM Bidang Konter HP Menurut Kecamatan di Kota Tangerang Selatan Tahun 2023;;
;;
Kecamatan;Mikro;Kecil
Serpong;137;57
Serpong Utara;96;29
Pondok Aren;76;55
Ciputat;79;20
Ciputat Timur;54;26
Pamulang;71;34
Setu;42;17
