Jumlah UMKM Bidang Transportasi Menurut Kecamatan di Kota Tangerang Selatan Tahun 2023;;
;;
Kecamatan;Mikro;Kecil
Serpong;76;77
Serpong Utara;88;48
Pondok Aren;52;45
Ciputat;40;23
Ciputat Timur;27;45
Pamulang;68;70
Setu;30;35
