DATA UMKM PERIKANAN - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;9;3
Ciputat Timur;6;2
Pamulang;9;3
Pondok Aren;7;2
Serpong;6;2
Serpong Utara;9;3
Setu;9;3
