DATA UMKM KONVEKSI - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;20;5
Ciputat Timur;12;3
Pamulang;12;3
Pondok Aren;15;4
Serpong;14;4
Serpong Utara;13;4
Setu;12;4
