DATA UMKM ELEKTRONIK - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;24;7
Ciputat Timur;25;7
Pamulang;26;7
Pondok Aren;30;8
Serpong;26;7
Serpong Utara;20;5
Setu;25;7
