DATA UMKM KULINER - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;160;41
Ciputat Timur;147;37
Pamulang;114;29
Pondok Aren;123;31
Serpong;165;42
Serpong Utara;168;42
Setu;176;44
