DATA UMKM JASA - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;82;21
Ciputat Timur;102;26
Pamulang;56;14
Pondok Aren;57;15
Serpong;88;22
Serpong Utara;100;26
Setu;93;24
