DATA UMKM SAYUR BUAH - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;6;2
Ciputat Timur;6;2
Pamulang;6;2
Pondok Aren;9;3
Serpong;8;2
Serpong Utara;8;3
Setu;5;2
