DATA UMKM AKSESORI - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;6;2
Ciputat Timur;5;2
Pamulang;7;2
Pondok Aren;7;2
Serpong;8;2
Serpong Utara;5;2
Setu;7;2
