Jumlah UMKM Bidang Ekspedisi Menurut Kecamatan di Kota Tangerang Selatan Tahun 2023;;
;;
Kecamatan;Mikro;Kecil
Serpong;11;6
Serpong Utara;3;2
Pondok Aren;5;4
Ciputat;5;3
Ciputat Timur;6;0
Pamulang;9;3
Setu;0;4
