DATA UMKM PENDIDIKAN - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;35;9
Ciputat Timur;32;8
Pamulang;28;7
Pondok Aren;40;10
Serpong;36;9
Serpong Utara;28;7
Setu;39;10
