DATA UMKM FASHION - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;95;24
Ciputat Timur;115;29
Pamulang;138;35
Pondok Aren;93;24
Serpong;143;36
Serpong Utara;154;39
Setu;104;26
