DATA UMKM TEKNOLOGI - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;68;18
Ciputat Timur;70;18
Pamulang;52;13
Pondok Aren;44;12
Serpong;62;16
Serpong Utara;56;14
Setu;41;11
