DATA UMKM TOKO SEMBAKO - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;87;22
Ciputat Timur;76;19
Pamulang;72;19
Pondok Aren;101;26
Serpong;80;21
Serpong Utara;87;22
Setu;99;25
