DATA UMKM AGROBISNIS - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;6;2
Ciputat Timur;9;3
Pamulang;8;3
Pondok Aren;7;2
Serpong;5;2
Serpong Utara;7;2
Setu;8;2
