DATA UMKM OTOMOTIF - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;38;10
Ciputat Timur;32;9
Pamulang;49;13
Pondok Aren;43;11
Serpong;51;13
Serpong Utara;34;9
Setu;48;13
