DATA UMKM FURNITURE - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;36;10
Ciputat Timur;48;13
Pamulang;49;13
Pondok Aren;48;13
Serpong;40;10
Serpong Utara;40;11
Setu;37;10
