DATA UMKM KREATIF - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;75;19
Ciputat Timur;76;19
Pamulang;56;14
Pondok Aren;56;15
Serpong;79;20
Serpong Utara;54;14
Setu;66;17
