DATA UMKM PERTANIAN - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;8;3
Ciputat Timur;7;2
Pamulang;9;3
Pondok Aren;8;3
Serpong;7;2
Serpong Utara;8;3
Setu;8;3
