DATA UMKM AKOMODASI - TANGERANG SELATAN
Tanggal: 2025-06-23
Kecamatan;Mikro;Kecil
Ciputat;8;2
Ciputat Timur;6;2
Pamulang;8;3
Pondok Aren;7;2
Serpong;5;2
Serpong Utara;8;2
Setu;8;3
