Jumlah UMKM Bidang Perawatan Menurut Kecamatan di Kota Tangerang Selatan Tahun 2023;;
;;
Kecamatan;Mikro;Kecil
Serpong;78;40
Serpong Utara;54;27
Pondok Aren;108;42
Ciputat;83;28
Ciputat Timur;114;24
Pamulang;124;30
Setu;25;20
